city,date,alpha,iter,vt_labors,extra_time,dist,successful_iters,duration_s
149,2026-01-05,0.3,133,29,249.6,206.31,133,615.9
149,2026-01-05,0.3,310,29,279.9,200.29,310,615.9
149,2026-01-05,0.3,488,29,273.5,197.91,488,615.9
149,2026-01-05,0.3,666,29,273.5,197.91,666,615.9
149,2026-01-05,0.3,133,26,0.0,174.18,133,461.7
149,2026-01-05,0.3,310,26,0.0,163.75,310,461.7
149,2026-01-05,0.3,488,26,0.0,163.75,488,461.7
149,2026-01-05,0.3,666,26,0.0,163.75,666,461.7
149,2026-01-05,0.3,133,21,0.0,129.45,133,308.2
149,2026-01-05,0.3,310,21,0.0,129.45,310,308.2
149,2026-01-05,0.3,488,21,0.0,129.45,488,308.2
149,2026-01-05,0.3,666,21,0.0,129.45,666,308.2
149,2026-01-05,0.3,133,20,0.0,132.51,133,249.3
149,2026-01-05,0.3,310,20,0.0,131.79,310,249.3
149,2026-01-05,0.3,488,20,0.0,127.75,488,249.3
149,2026-01-05,0.3,666,20,0.0,127.75,666,249.3
149,2026-01-05,0.3,133,18,0.0,103.32,133,215.7
149,2026-01-05,0.3,310,18,0.0,103.32,310,215.7
149,2026-01-05,0.3,488,18,0.0,103.32,488,215.7
149,2026-01-05,0.3,666,18,0.0,103.32,666,215.7
149,2026-01-05,0.3,133,22,0.0,127.26,133,240.9
149,2026-01-05,0.3,310,22,0.0,127.26,310,240.9
149,2026-01-05,0.3,488,22,0.0,127.26,488,240.9
149,2026-01-05,0.3,666,22,0.0,127.26,666,240.9
149,2026-01-05,0.3,133,19,0.0,110.31,133,207.7
149,2026-01-05,0.3,310,19,0.0,110.31,310,207.7
149,2026-01-05,0.3,488,19,0.0,110.31,488,207.7
149,2026-01-05,0.3,666,19,9.9,103.09,666,207.7
149,2026-01-05,0.3,133,18,40.0,119.47,133,171.6
149,2026-01-05,0.3,310,18,44.4,117.03,310,171.6
149,2026-01-05,0.3,488,18,10.7,111.48,488,171.6
149,2026-01-05,0.3,666,18,10.7,111.48,666,171.6
149,2026-01-05,0.3,133,17,0.8,94.78,133,153.0
149,2026-01-05,0.3,310,17,0.8,94.78,310,153.0
149,2026-01-05,0.3,488,17,0.8,94.78,488,153.0
149,2026-01-05,0.3,666,17,0.8,94.78,666,153.0
149,2026-01-05,0.3,133,9,0.8,48.12,133,93.3
149,2026-01-05,0.3,310,9,44.2,44.63,310,93.3
149,2026-01-05,0.3,488,9,44.2,44.63,488,93.3
149,2026-01-05,0.3,666,9,44.2,44.63,666,93.3
149,2026-01-05,0.3,133,10,94.6,62.12,133,95.1
149,2026-01-05,0.3,310,10,138.2,58.41,310,95.1
149,2026-01-05,0.3,488,10,118.5,57.29,488,95.1
149,2026-01-05,0.3,666,10,100.0,56.56,666,95.1
149,2026-01-05,0.3,133,9,152.3,46.38,133,82.0
149,2026-01-05,0.3,310,9,152.3,46.38,310,82.0
149,2026-01-05,0.3,488,9,152.3,46.38,488,82.0
149,2026-01-05,0.3,666,9,152.3,46.38,666,82.0
149,2026-01-05,0.3,133,2,97.0,7.49,133,30.3
149,2026-01-05,0.3,310,2,97.0,7.49,310,30.3
149,2026-01-05,0.3,488,2,97.0,7.49,488,30.3
149,2026-01-05,0.3,666,2,97.0,7.49,666,30.3
1,2026-01-05,0.3,100,11,20.3,25.19,100,34.9
1,2026-01-05,0.3,233,11,20.3,25.19,233,34.9
1,2026-01-05,0.3,366,11,20.3,24.99,366,34.9
1,2026-01-05,0.3,500,11,20.3,24.99,500,34.9
1,2026-01-05,0.3,100,10,20.3,21.83,100,30.5
1,2026-01-05,0.3,233,10,20.3,21.83,233,30.5
1,2026-01-05,0.3,366,10,20.3,21.74,366,30.5
1,2026-01-05,0.3,500,10,20.3,21.74,500,30.5
1,2026-01-05,0.3,100,11,20.3,26.07,100,29.5
1,2026-01-05,0.3,233,11,20.3,26.07,233,29.5
1,2026-01-05,0.3,366,11,20.3,26.07,366,29.5
1,2026-01-05,0.3,500,11,20.3,26.07,500,29.5
1,2026-01-05,0.3,100,9,20.3,17.27,100,26.0
1,2026-01-05,0.3,233,9,20.3,17.27,233,26.0
1,2026-01-05,0.3,366,9,20.3,17.27,366,26.0
1,2026-01-05,0.3,500,9,20.3,17.27,500,26.0
1,2026-01-05,0.3,100,9,20.3,32.79,100,25.7
1,2026-01-05,0.3,233,9,20.3,32.79,233,25.7
1,2026-01-05,0.3,366,9,20.3,32.79,366,25.7
1,2026-01-05,0.3,500,9,20.3,32.79,500,25.7
1,2026-01-05,0.3,100,7,85.0,25.07,100,21.3
1,2026-01-05,0.3,233,7,85.0,25.07,233,21.3
1,2026-01-05,0.3,366,7,85.0,25.07,366,21.3
1,2026-01-05,0.3,500,7,85.0,25.07,500,21.3
1,2026-01-05,0.3,100,5,85.0,13.89,100,16.3
1,2026-01-05,0.3,233,5,85.0,13.89,233,16.3
1,2026-01-05,0.3,366,5,85.0,13.89,366,16.3
1,2026-01-05,0.3,500,5,85.0,13.89,500,16.3
1,2026-01-05,0.3,100,3,104.6,15.11,100,14.1
1,2026-01-05,0.3,233,3,104.6,15.11,233,14.1
1,2026-01-05,0.3,366,3,104.6,15.11,366,14.1
1,2026-01-05,0.3,500,3,104.6,15.11,500,14.1
126,2026-01-05,0.3,20,0,0.0,3.51,20,4.2
126,2026-01-05,0.3,46,0,0.0,3.51,46,4.2
126,2026-01-05,0.3,73,0,0.0,3.51,73,4.2
126,2026-01-05,0.3,100,0,0.0,3.51,100,4.2
126,2026-01-05,0.3,20,1,119.5,4.83,20,4.8
126,2026-01-05,0.3,46,1,119.5,4.83,46,4.8
126,2026-01-05,0.3,73,1,119.5,4.83,73,4.8
126,2026-01-05,0.3,100,1,119.5,4.83,100,4.8
150,2026-01-05,0.3,20,4,44.3,17.55,20,4.1
150,2026-01-05,0.3,46,4,44.3,17.55,46,4.1
150,2026-01-05,0.3,73,4,44.3,17.55,73,4.1
150,2026-01-05,0.3,100,4,44.3,17.55,100,4.1
844,2026-01-05,0.3,20,1,0.0,15.23,20,3.8
844,2026-01-05,0.3,46,1,0.0,15.23,46,3.8
844,2026-01-05,0.3,73,1,0.0,15.23,73,3.8
844,2026-01-05,0.3,100,1,0.0,15.23,100,3.8
844,2026-01-05,0.3,20,1,47.6,9.04,20,3.6
844,2026-01-05,0.3,46,1,47.6,9.04,46,3.6
844,2026-01-05,0.3,73,1,47.6,9.04,73,3.6
844,2026-01-05,0.3,100,1,47.6,9.04,100,3.6
830,2026-01-05,0.3,20,1,0.0,9.19,20,3.7
830,2026-01-05,0.3,46,1,0.0,9.19,46,3.7
830,2026-01-05,0.3,73,1,0.0,9.19,73,3.7
830,2026-01-05,0.3,100,1,0.0,9.19,100,3.7
830,2026-01-05,0.3,20,1,0.0,0.0,20,3.7
830,2026-01-05,0.3,46,1,0.0,0.0,46,3.7
830,2026-01-05,0.3,73,1,0.0,0.0,73,3.7
830,2026-01-05,0.3,100,1,0.0,0.0,100,3.7
830,2026-01-05,0.3,20,1,0.0,0.0,20,3.7
830,2026-01-05,0.3,46,1,0.0,0.0,46,3.7
830,2026-01-05,0.3,73,1,0.0,0.0,73,3.7
830,2026-01-05,0.3,100,1,0.0,0.0,100,3.7
1004,2026-01-05,0.3,100,13,130.2,61.86,100,43.0
1004,2026-01-05,0.3,233,13,130.2,61.86,233,43.0
1004,2026-01-05,0.3,366,13,130.3,61.21,366,43.0
1004,2026-01-05,0.3,500,13,130.3,61.21,500,43.0
1004,2026-01-05,0.3,100,11,109.5,68.44,100,32.5
1004,2026-01-05,0.3,233,11,109.5,68.22,233,32.5
1004,2026-01-05,0.3,366,11,109.5,67.15,366,32.5
1004,2026-01-05,0.3,500,11,109.5,67.15,500,32.5
1004,2026-01-05,0.3,100,11,165.0,78.07,100,29.5
1004,2026-01-05,0.3,233,11,165.0,78.07,233,29.5
1004,2026-01-05,0.3,366,11,165.0,78.07,366,29.5
1004,2026-01-05,0.3,500,11,165.0,78.07,500,29.5
1004,2026-01-05,0.3,100,13,258.7,106.55,100,33.6
1004,2026-01-05,0.3,233,13,258.7,106.55,233,33.6
